site,ID,Year,CEC,clay,bulkdens,soil_type,SOC,pH,PS,dep,irr,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario,Cd_solu,Cd_rice,Cd_straw,crop,res_in,lea,Cd_acc
QY003,QY003,2038,146.8921708,9.79635,1399.999976,Calcareous,2.541000043,6.626864,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.653405226,12.7021231,12.486187,0.84,0,BAU,0.098588686,0.137269711,0.395890172,2.534522167,4.152253325,0.897157046,8.883138002
QY003,QY003,2039,146.8921708,9.79635,1399.999976,Calcareous,2.541178615,6.626864,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.656577775,12.7021231,12.486187,0.84,0,BAU,0.099072441,0.13787134,0.397625287,2.545630522,4.170451904,0.901559217,8.867627477
QY003,QY003,2040,146.8921708,9.79635,1399.999976,Calcareous,2.541357186,6.626776,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.659744785,12.7021231,12.486187,0.84,0,BAU,0.099568631,0.138481383,0.39938467,2.556894236,4.188905005,0.906074538,8.851848442
QY003,QY003,2041,146.8921708,9.79635,1399.999976,Calcareous,2.541535758,6.626776,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.662906159,12.7021231,12.486187,0.84,0,BAU,0.100050673,0.139080225,0.40111175,2.567951147,4.207019306,0.910461125,8.836404944
QY003,QY003,2042,146.8921708,9.79635,1399.999976,Calcareous,2.541714329,6.626688,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.666062018,12.7021231,12.486187,0.84,0,BAU,0.100545283,0.139687577,0.402863373,2.579165185,4.225391023,0.914962075,8.820689956
QY003,QY003,2043,146.8921708,9.79635,1399.999976,Calcareous,2.5418929,6.626688,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.669212265,12.7021231,12.486187,0.84,0,BAU,0.101025618,0.140283653,0.404582475,2.59017102,4.243421647,0.919333123,8.805313073
QY003,QY003,2044,146.8921708,9.79635,1399.999976,Calcareous,2.542035758,6.6266,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.67235702,12.7021231,12.486187,0.84,0,BAU,0.101520564,0.14089067,0.40633313,2.601378861,4.261783213,0.923837135,8.78960122
QY003,QY003,2045,146.8921708,9.79635,1399.999976,Calcareous,2.542214329,6.6266,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.675496163,12.7021231,12.486187,0.84,0,BAU,0.101999202,0.141484004,0.408044326,2.61233408,4.279730914,0.92819274,8.774290395
QY003,QY003,2046,146.8921708,9.79635,1399.999976,Calcareous,2.542357186,6.6266,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.678629838,12.7021231,12.486187,0.84,0,BAU,0.102478896,0.142078317,0.409758343,2.623307367,4.297708213,0.932557958,8.758951892
QY003,QY003,2047,146.8921708,9.79635,1399.999976,Calcareous,2.542500043,6.626512,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.681758035,12.7021231,12.486187,0.84,0,BAU,0.102971504,0.142681393,0.411497631,2.634442433,4.315950554,0.937040683,8.7433341
QY003,QY003,2048,146.8921708,9.79635,1399.999976,Calcareous,2.542678615,6.626512,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.684880655,12.7021231,12.486187,0.84,0,BAU,0.103447585,0.143270643,0.413197049,2.645322247,4.33377472,0.941373021,8.728121948
QY003,QY003,2049,146.8921708,9.79635,1399.999976,Calcareous,2.542821472,6.626424,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.687997841,12.7021231,12.486187,0.84,0,BAU,0.103938652,0.143871119,0.41492884,2.656409318,4.351938431,0.945841736,8.712566162
QY003,QY003,2050,146.8921708,9.79635,1399.999976,Calcareous,2.542964329,6.626424,0.91,3.908966064,1.42678499,2.714193639,4.264872523,0.691109472,12.7021231,12.486187,0.84,0,BAU,0.104415014,0.14446007,0.416627392,2.667283591,4.36975352,0.950176626,8.697356998
QY024,QY024,2020,209.2839037,9.303476667,1250,Calcareous,2.34984,6.696032,0.91,5.299603939,1.305510142,0.496447491,0,0.334383343,12.7021231,12.486187,0.84,0,BAU,0.049612873,0.07908858,0.228093957,1.46027669,2.392339991,0.45147714,5.189807742
QY024,QY024,2021,209.2839037,9.303476667,1250,Calcareous,2.36096,6.695856,0.91,5.299603939,1.305510142,0.496447491,0,0.336459266,12.7021231,12.486187,0.84,0,BAU,0.049628549,0.079109531,0.22815438,1.460663525,2.392973735,0.451619793,5.189278254
QY024,QY024,2022,209.2839037,9.303476667,1250,Calcareous,2.37152,6.695768,0.91,5.299603939,1.305510142,0.496447491,0,0.338534977,12.7021231,12.486187,0.84,0,BAU,0.049652795,0.079146178,0.228260071,1.461340168,2.394082264,0.451840437,5.188380967
