"Year","scenario","soil_type","mean_pH","lower_pH","upper_pH","mean_soilCd","lower_soilCd","upper_soilCd","mean_riceCd","lower_riceCd","upper_riceCd"
2020,"BAU","Calcareous",6.67692377777778,6.6156,6.70404,0.364010813951621,0.191303279966838,0.658124296686815,0.0977093735654947,0.022366120951085,0.271949042154406
2020,"BAU","Non-calcareous",5.42562258823529,4.330416,6.074136,0.305557117255669,0.1710761614588,0.448475553929045,0.322214280643306,0.0848563787459336,0.819799644373486
2020,"BNP","Calcareous",6.69536466666667,6.676144,6.70536,0.364010813951621,0.191303279966838,0.658124296686815,0.0888786670633554,0.0204001699483126,0.247742221110364
2020,"BNP","Non-calcareous",5.44151435294118,4.438128,6.017376,0.305557117255669,0.1710761614588,0.448475553929045,0.313939122701398,0.0888281248420365,0.751637649185472
2020,"BNPL","Calcareous",6.69536466666667,6.676144,6.70536,0.364010813951621,0.191303279966838,0.658124296686815,0.0888786670633554,0.0204001699483126,0.247742221110364
2020,"BNPL","Non-calcareous",5.91840756229412,5.5,6.444665276,0.305557117255669,0.1710761614588,0.448475553929045,0.184527432477783,0.0888281248420365,0.219303873281402
2020,"BNPR","Calcareous",6.70150755555556,6.6794,6.711432,0.364010813951621,0.191303279966838,0.658124296686815,0.0884314725843506,0.0202818789069733,0.246847780632577
2020,"BNPR","Non-calcareous",5.49644705882353,4.491808,6.15272,0.305557117255669,0.1710761614588,0.448475553929045,0.300737280590894,0.0796489572132106,0.719814391798847
2020,"BNPRLopt","Calcareous",6.70150755555556,6.6794,6.711432,0.364010813951621,0.191303279966838,0.658124296686815,0.0884314725843506,0.0202818789069733,0.246847780632577
2020,"BNPRLopt","Non-calcareous",5.93837979758823,5.566552,6.444665276,0.305557117255669,0.1710761614588,0.448475553929045,0.182689435414258,0.0796489572132106,0.219303873281402
2021,"BAU","Calcareous",6.67664755555556,6.61472,6.703952,0.366398952732164,0.19251790932902,0.662385935782487,0.098592370116782,0.0227263435799116,0.275587550511497
2021,"BAU","Non-calcareous",5.40682682352941,4.220064,6.07748,0.3047880484416,0.171860766712853,0.445755333354258,0.329808189559068,0.0853386044451586,0.874085643120593
2021,"BNP","Calcareous",6.697704,6.682656,6.70624,0.36604386143659,0.192351419545732,0.660068415352751,0.0892957740788707,0.0206860322813966,0.250441735436189
2021,"BNP","Non-calcareous",5.43193270588235,4.3782,5.990184,0.304793567872621,0.171669051803352,0.446786470796568,0.316608350389363,0.0900853273379987,0.77200826640201
2021,"BNPL","Calcareous",6.697704,6.682656,6.70624,0.36604386143659,0.192351419545732,0.660068415352751,0.0892957740788707,0.0206860322813966,0.250441735436189
2021,"BNPL","Non-calcareous",5.91735156229412,5.5,6.444665276,0.306622576908272,0.171669051803352,0.449736327811192,0.185155883541182,0.0900853273379987,0.220514368464108
2021,"BNPR","Calcareous",6.70054933333333,6.684064,6.70888,0.366727473342599,0.193603758483146,0.660245538593368,0.0882535356388309,0.0205230749288397,0.247470815211435
2021,"BNPR","Non-calcareous",5.56223482352941,4.462856,6.292112,0.305914841382128,0.172154634978803,0.447349532446213,0.286156031483938,0.0711139937165054,0.717929655828863
2021,"BNPRLopt","Calcareous",6.70054933333333,6.684064,6.70888,0.365353265463129,0.193540548150308,0.659506562772842,0.0878301118169652,0.0205103563634691,0.245052111221257
2021,"BNPRLopt","Non-calcareous",5.96300944464706,5.616184,6.444665276,0.305963797034295,0.172154634978803,0.448479908780956,0.178262630735177,0.0709027467752215,0.218602944643617
