"ID","Year","soil_type","Variable","Simulation","value","diff","outlier"
"QY090","2019","Calcareous","Soil Cd",0.279749811811727,0.415728475,0.135978663188273,0
"QY094","2014","Calcareous","SOC",1.38528986,1.697118568,0.311828708,0
"QY094","2014","Calcareous","Soil Cd",0.274773508543024,0.369540723,0.0947672144569761,0
"QY094","2019","Calcareous","SOC",1.403550729,1.279480186,0.124070543,0
"QY094","2019","Calcareous","Soil Cd",0.288054167968787,0.404292132,0.116237964031213,0
"QY095","2014","Non-calcareous","pH",5.869976,6.3,0.430024,0
"QY095","2014","Non-calcareous","SOC",1.26070925,2.054609213,0.793899963,0
"QY095","2014","Non-calcareous","Soil Cd",0.2937997323465,0.432245299,0.1384455666535,0
"QY095","2019","Non-calcareous","pH",5.712632,6.38,0.667368,0
"QY095","2019","Non-calcareous","SOC",1.255496484,1.274254454,0.01875797,0
"QY095","2019","Non-calcareous","Soil Cd",0.303896486812873,0.349386716,0.045490229187127,0
"QY101","2014","Non-calcareous","pH",5.702072,6.06,0.357927999999999,0
"QY101","2014","Non-calcareous","SOC",0.795321442,1.937642228,1.142320786,0
"QY101","2014","Non-calcareous","Soil Cd",0.207011199350244,0.31604699,0.109035790649756,0
"QY101","2019","Non-calcareous","pH",5.663264,5.4,0.263263999999999,0
"QY101","2019","Non-calcareous","SOC",0.824500014,0.635054519,0.189445495,0
"QY101","2019","Non-calcareous","Soil Cd",0.213055292548604,0.226964244,0.0139089514513956,0
"QY106","2014","Calcareous","SOC",1.850787623,1.972238097,0.121450474,0
"QY106","2014","Calcareous","Soil Cd",0.262984040557247,0.333054502,0.0700704614427535,0
"QY106","2019","Calcareous","SOC",1.815616391,2.034617994,0.219001603,0
"QY106","2019","Calcareous","Soil Cd",0.277209545537474,0.534490655,0.257281109462526,0
"QY107","2014","Non-calcareous","pH",5.4936,5.74,0.2464,0
"QY107","2014","Non-calcareous","SOC",1.207836908,1.293500099,0.0856631910000001,0
"QY107","2014","Non-calcareous","Soil Cd",0.201501869219207,0.296001006,0.0944991367807927,0
"QY107","2019","Non-calcareous","pH",5.41352,5.1,0.31352,0
"QY107","2019","Non-calcareous","SOC",1.200744709,1.241612127,0.0408674179999999,0
"QY107","2019","Non-calcareous","Soil Cd",0.204045673848443,0.65021088,0.446165206151557,0
"QY110","2014","Non-calcareous","pH",5.653848,6.84,1.186152,0
"QY110","2014","Non-calcareous","SOC",1.297318845,2.40633388,1.109015035,0
"QY110","2014","Non-calcareous","Soil Cd",0.248269057283433,0.403705956,0.155436898716567,0
"QY110","2019","Non-calcareous","pH",5.610992,6.54,0.929008,0
"QY110","2019","Non-calcareous","SOC",1.331340584,1.108569876,0.222770708,0
"QY110","2019","Non-calcareous","Soil Cd",0.254326052421916,0.330450844,0.0761247915780842,0
"QY154","2014","Non-calcareous","pH",5.512344,5.45,0.0623439999999995,0
"QY154","2014","Non-calcareous","SOC",1.504892102,1.235016606,0.269875496,0
"QY154","2014","Non-calcareous","Soil Cd",0.449265714935112,0.766803345,0.317537630064888,0
"QY154","2019","Non-calcareous","pH",5.293224,4.35,0.943224000000001,0
"QY154","2019","Non-calcareous","SOC",1.508741023,1.469392957,0.0393480660000001,0
"QY154","2019","Non-calcareous","Soil Cd",0.450162025855278,0.503907108,0.053745082144722,0
"QY163","2014","Non-calcareous","pH",5.336256,5.46,0.123744,0
"QY163","2014","Non-calcareous","SOC",2.136000036,1.632045387,0.503954649,0
