"ID","clay","SOC","pH","Cd_solu","lea","soc_level","clay_level"
"QY003",9.79635,2.539071472,6.627744,0.0936334563400332,0.852064452694302,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539321472,6.627568,0.0941471671527161,0.856739221089717,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539571472,6.62748,0.0946475320321068,0.861292541492172,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.539785758,6.627304,0.0951616090976574,0.865970642788682,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540035758,6.627216,0.0956604194159807,0.870509816685425,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540214329,6.627128,0.096162048808155,0.875074644154211,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540428615,6.62704,0.0966610847281684,0.879615871026333,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.5406429,6.62704,0.0971463411995074,0.884031704915517,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.540821472,6.626952,0.0976455934682917,0.888574900561454,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541000043,6.626864,0.0981440763689882,0.893111094957793,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541178615,6.626864,0.098628599862758,0.897520258751098,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541357186,6.626776,0.099125496991623,0.902042022623769,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541535758,6.626776,0.0996083057667143,0.9064355824771,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.541714329,6.626688,0.100103621664627,0.910942957148105,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.5418929,6.626688,0.100584720766293,0.91532095897327,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542035758,6.6266,0.101080362865142,0.919831302072796,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542214329,6.6266,0.101559762795083,0.924193841435257,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542357186,6.6266,0.102040209543146,0.928565906842631,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542500043,6.626512,0.102533509507669,0.93305493651979,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542678615,6.626512,0.103010349293274,0.937394178568793,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542821472,6.626424,0.103502107792331,0.941869180910216,"High (>2.5%)","Sandy (<18%)"
"QY003",9.79635,2.542964329,6.626424,0.103979217686027,0.946210880942843,"High (>2.5%)","Sandy (<18%)"
"QY024",18.10679836,1.98256,6.714336,0.0323884038183208,0.476109536129315,"Medium (1.5~2.5%)","Loamy (18-35%)"
"QY024",17.84787713,1.96776,6.713544,0.0331777814582069,0.491031165581462,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",17.5889559,1.96056,6.714512,0.0337073464834024,0.515722401196056,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",17.33003468,1.96128,6.710112,0.0343486811585556,0.412184173902667,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",17.07111345,1.95536,6.708968,0.034990578882358,0.419886946588296,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",16.81219222,1.95292,6.711256,0.0353710023639379,0.519953734749887,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",16.553271,1.95168,6.70844,0.0359973619193063,0.532760956405733,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",16.29434977,1.95224,6.708616,0.0364573937279046,0.55779812403694,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",16.03542855,1.95304,6.704832,0.0371631772528983,0.44595812703478,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",15.77650732,1.9522,6.710552,0.0374211224201198,0.729711887192337,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",15.51758609,1.95104,6.70668,0.0382534533884028,0.340455735156785,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",15.25866487,1.96296,6.706152,0.0386200496643357,0.567714730065735,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",14.99974364,1.98016,6.708968,0.0386704226148581,0.765674367774191,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",14.74082242,1.99384,6.712136,0.0388059003061046,0.516118474071192,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",14.48190119,2.00844,6.70844,0.0393718585751899,0.393718585751899,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",14.22297996,2.04156,6.706416,0.0393981127371405,0.555513389593681,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",13.96405874,2.07804,6.706328,0.0392516261698687,0.447468538336503,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",13.70513751,2.08724,6.712048,0.0394911190034266,0.825364387171616,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",13.44621628,2.09504,6.697088,0.0410328908171002,0.348779571945352,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",13.18729506,2.10696,6.708,0.0409343479897488,0.53623995866571,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",12.92837383,2.1218,6.700784,0.0419005598091213,0.548897333499489,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",12.66945261,2.13768,6.70888,0.0419054199159252,0.649534008696841,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",12.41053138,2.1544,6.70712,0.0425459182401196,0.502041835233412,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",12.15161015,2.16584,6.702896,0.0435307519575669,0.483191346728993,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",11.89268893,2.17424,6.700784,0.04449700587651,0.422721555826845,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",11.6337677,2.19172,6.698056,0.0452989158423579,0.412220134165457,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",11.37484648,2.20916,6.68116,0.0471103293663904,0.282661976198342,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",11.11592525,2.2284,6.689168,0.0470369199930772,0.460961815932157,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",10.85700402,2.24692,6.676584,0.0483758309971094,0.20801607328757,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",10.5980828,2.25092,6.70184,0.0473118744532387,0.548817743657569,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",10.33916157,2.26716,6.696736,0.0480034178325685,0.446431785842887,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",10.08024035,2.28504,6.699816,0.0479870740556612,0.595039718290199,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.821319119,2.29844,6.69744,0.0484112657036081,0.459907024184277,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.562397893,2.30872,6.697968,0.0486396837207982,0.452349058603423,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.34624,6.695944,0.0482290966931835,0.43888477990797,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.34984,6.696032,0.0484436741993953,0.440837435214497,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.36096,6.695856,0.0484687097762778,0.441065258964128,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.37152,6.695768,0.0485019831005866,0.441368046215338,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.38168,6.69568,0.0485454204713986,0.441763326289727,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.39148,6.695592,0.0485978143120019,0.442240110239217,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.401,6.695504,0.0486568985247139,0.442777776574897,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.41024,6.695416,0.0487226106420347,0.443375756842516,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.41924,6.695328,0.0487938135082021,0.444023702924639,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.42804,6.69524,0.04886938712411,0.444711422829401,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.43664,6.69524,0.0489427571672478,0.445379090221955,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.44508,6.695152,0.0490259128578409,0.446135807006352,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.45332,6.695064,0.0491133670342667,0.446931640011827,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.46144,6.694976,0.0492029559707017,0.447746899333386,"Medium (1.5~2.5%)","Sandy (<18%)"
"QY024",9.303476667,2.46936,6.694888,0.0492968142673242,0.44860100983265,"Medium (1.5~2.5%)","Sandy (<18%)"
