Data to derive cadmium regression model.,,,,,,,,,,
Unit:,,,,mg/kg,mg/kg,mg/kg,mg/L,g/kg,%,
X,Y,land_use,pH,SoilCdtot,RiceCd,StrawCd,SoilCdavi,OC,Clay,source
111.750269,26.683739,Paddy,7.91,0.7298651,0.036,0.118,5.00E-05,26.961,31.6,est_clay
112.0780778,26.54435655,Paddy,7.78,0.5546925,0.037,0.111,0.00171,22.2465,27,est_clay
111.866312,26.768143,Paddy,6.35,0.300718066,0.040333333,0.151333333,0.021676667,13.64683333,27.4,est_clay
111.84288,26.74995,Paddy,7.89,0.5136122,0.043,0.137,0.001,18.3425,27.1,est_clay
112.0736111,26.55388889,Paddy,7.1,0.4330018,0.045,0.099,0.0015,27.961,27.2,est_clay
111.8233,26.721732,Paddy,6.47,0.4678813,0.051,0.204,0.03071,13.2135,31.6,est_clay
111.750441,26.686998,Paddy,7.31,0.512062,0.056,0.208,0.00487,15.825,31.8,est_clay
111.8869444,26.41111111,Paddy,6.83,0.7337406,0.06,0.138,0.01238,17.995,29.3,est_clay
111.759775,26.730625,Paddy,7.15,0.5748451,0.063,0.254,0.00502,25.548,26.2,est_clay
111.893177,26.751934,Paddy,6.2575,0.53570255,0.072,0.6885,0.042015,22.841125,29.3,est_clay
111.823568,26.753122,Paddy,6.31,0.2353513,0.099,0.401,0.0365,12.0005,29.5,est_clay
111.886408,26.367029,Paddy,7.38,0.4299014,0.143,0.394,0.00055,26.582,31,est_clay
111.886418,26.367129,Paddy,6.68,0.395797,0.158,0.56,0.01042,17.064,31,est_clay
111.849403,26.755172,Paddy,6.433333333,0.269714066,0.159333333,0.502,0.02772,9.363166667,25.1,est_clay
111.852686,26.751359,Paddy,6.076666667,0.2725561,0.202,0.803,0.04441,10.57166667,27.3,est_clay
111.971476,26.31452635,Paddy,5.03,0.2965842,0.314,1.805,0.12052,14.936,28.3,est_clay
112.0761111,26.63138889,Paddy,7.01,0.5027608,0.446,NA,0.00949,22.5015,28.5,est_clay
111.903702,26.61191061,Paddy,6.25,0.5601182,0.508,2.686,0.05497,13.878,29.2,est_clay
111.9683333,26.39555556,Paddy,6.75,0.310536,0.569,1.901,0.13265,12.4,29.2,est_clay
111.6775,26.825,Paddy,7.4,0.3252629,NA,NA,4.00E-04,13.6805,28.6,est_clay
111.7511111,26.70361111,Paddy,7.44,0.5283391,NA,NA,0.00322,19.3875,28.5,est_clay
111.7883333,26.51111111,Paddy,5.6,0.3764195,NA,NA,0.04611,16.8125,28.5,est_clay
111.81181,26.729532,Paddy,7.3875,0.614181425,NA,NA,0.0072975,17.746625,30.3,est_clay
111.840777,26.78025,Paddy,7.708,0.39858736,NA,NA,0.007468,19.4998,24.4,est_clay
111.9838889,26.27055556,Paddy,5.34,0.2384517,NA,NA,0.08472,9.366,29.4,est_clay
111.8033333,26.51694444,Paddy,5.88,0.3461906,NA,NA,0.02674,7.699,28.8121325,mea_clay
111.6955556,26.76333333,Paddy,6.01,0.4081986,0.03,0.169,0.01875,32.263,28.294,mea_clay
111.7763889,26.74861111,Paddy,7.1,0.3717689,0.021,0.07,0.00057,26.2465,25.353,mea_clay
