site,ID,Year,dep,irr,CEC,clay,bulkdens,soil_type,SOC,pH,PS,fer,man,soilCd,rice_yield,straw_yield,straw_recy,lime,scenario
QY003,QY003,2047,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.542500043,6.626512,0.91,2.714193639,4.264872523,0.67659449,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2048,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.542678615,6.626512,0.91,2.714193639,4.264872523,0.679680016,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2049,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.542821472,6.626424,0.91,2.714193639,4.264872523,0.682759961,12.7021231,12.486187,0.84,0,BAU
QY003,QY003,2050,3.908966064,1.42678499,146.8921708,9.79635,1399.999976,Calcareous,2.542964329,6.626424,0.91,2.714193639,4.264872523,0.6858342,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2020,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.34984,6.696032,0.91,0.496447491,0,0.325669222,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2021,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.36096,6.695856,0.91,0.496447491,0,0.32773711,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2022,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.37152,6.695768,0.91,0.496447491,0,0.329804658,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2023,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.38168,6.69568,0.91,0.496447491,0,0.331871719,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2024,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.39148,6.695592,0.91,0.496447491,0,0.333938144,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2025,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.401,6.695504,0.91,0.496447491,0,0.336003806,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2026,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.41024,6.695416,0.91,0.496447491,0,0.338068607,12.7021231,12.486187,0.84,0,BAU
QY024,QY024,2027,5.299603939,1.305510142,209.2839037,9.303476667,1250,Calcareous,2.41924,6.695328,0.91,0.496447491,0,0.340132452,12.7021231,12.486187,0.84,0,BAU
