"ID","scenario","soil_type","variable","value"
"QY040","BNPRLopt","Calcareous","deposition",1.68004133
"QY040","BNPRLopt(dep)","Calcareous","deposition",0
"QY040","BAU","Calcareous","manure",0
"QY040","BNP","Calcareous","manure",0
"QY040","BNPR","Calcareous","manure",2.81542
"QY040","BNPL","Calcareous","manure",0
"QY040","BNPRLopt","Calcareous","manure",0
"QY040","BNPRLopt(dep)","Calcareous","manure",1.68004133
"QY040","BAU","Calcareous","irrigation",1.105497263
"QY040","BNP","Calcareous","irrigation",1.105497263
"QY040","BNPR","Calcareous","irrigation",1.105497263
"QY040","BNPL","Calcareous","irrigation",1.105497263
"QY040","BNPRLopt","Calcareous","irrigation",1.105497263
"QY040","BNPRLopt(dep)","Calcareous","irrigation",1.105497263
"QY040","BAU","Calcareous","fertilizer",0.378949618
"QY040","BNP","Calcareous","fertilizer",0.380147802
"QY040","BNPR","Calcareous","fertilizer",0.156202938
"QY040","BNPL","Calcareous","fertilizer",0.380147802
"QY040","BNPRLopt","Calcareous","fertilizer",0.156202938
"QY040","BNPRLopt(dep)","Calcareous","fertilizer",0.156202938
"QY040","BAU","Calcareous","total input",13.043670061
"QY040","BNP","Calcareous","total input",13.044868245
"QY040","BNPR","Calcareous","total input",15.636343381
"QY040","BNPL","Calcareous","total input",13.044868245
"QY040","BNPRLopt","Calcareous","total input",2.941741531
"QY040","BNPRLopt(dep)","Calcareous","total input",2.941741531
"QY040","Critical input","Calcareous","total input",3.15013728207888
"QY040","Critical input","Calcareous","critical input",3.15013728207888
"QY049","BAU","Calcareous","deposition",5.395667553
"QY049","BNP","Calcareous","deposition",5.395667553
"QY049","BNPR","Calcareous","deposition",5.395667553
"QY049","BNPL","Calcareous","deposition",5.395667553
"QY049","BNPRLopt","Calcareous","deposition",4.713970695
"QY049","BNPRLopt(dep)","Calcareous","deposition",1.592270695
"QY049","BAU","Calcareous","manure",0
"QY049","BNP","Calcareous","manure",0
"QY049","BNPR","Calcareous","manure",3.1217
"QY049","BNPL","Calcareous","manure",0
"QY049","BNPRLopt","Calcareous","manure",0
"QY049","BNPRLopt(dep)","Calcareous","manure",3.1217
"QY049","BAU","Calcareous","irrigation",1.107919554
"QY049","BNP","Calcareous","irrigation",1.107919554
"QY049","BNPR","Calcareous","irrigation",1.107919554
"QY049","BNPL","Calcareous","irrigation",1.107919554
"QY049","BNPRLopt","Calcareous","irrigation",1.107919554
"QY049","BNPRLopt(dep)","Calcareous","irrigation",1.107919554
"QY049","BAU","Calcareous","fertilizer",1.438216657
"QY049","BNP","Calcareous","fertilizer",0.547320005
"QY049","BNPR","Calcareous","fertilizer",0.296170149
"QY049","BNPL","Calcareous","fertilizer",0.547320005
"QY049","BNPRLopt","Calcareous","fertilizer",0.296170149
"QY049","BNPRLopt(dep)","Calcareous","fertilizer",0.296170149
"QY049","BAU","Calcareous","total input",7.941803764
"QY049","BNP","Calcareous","total input",7.050907112
"QY049","BNPR","Calcareous","total input",9.921457256
"QY049","BNPL","Calcareous","total input",7.050907112
"QY049","BNPRLopt","Calcareous","total input",6.118060398
"QY049","BNPRLopt(dep)","Calcareous","total input",6.118060398
"QY049","Critical input","Calcareous","total input",6.50939811777693
"QY049","Critical input","Calcareous","critical input",6.50939811777693
"QY065","BAU","Non-calcareous","deposition",4.194610119
"QY065","BNP","Non-calcareous","deposition",4.194610119
"QY065","BNPR","Non-calcareous","deposition",4.194610119
"QY065","BNPL","Non-calcareous","deposition",4.194610119
"QY065","BNPRLopt","Non-calcareous","deposition",4.194610119
"QY065","BNPRLopt(dep)","Non-calcareous","deposition",0.979341512
"QY065","BAU","Non-calcareous","manure",0
"QY065","BNP","Non-calcareous","manure",0
"QY065","BNPR","Non-calcareous","manure",3.7014
"QY065","BNPL","Non-calcareous","manure",0
"QY065","BNPRLopt","Non-calcareous","manure",0.486131393
"QY065","BNPRLopt(dep)","Non-calcareous","manure",3.7014
"QY065","BAU","Non-calcareous","irrigation",1.318128756
"QY065","BNP","Non-calcareous","irrigation",1.318128756
"QY065","BNPR","Non-calcareous","irrigation",1.318128756
"QY065","BNPL","Non-calcareous","irrigation",1.318128756
"QY065","BNPRLopt","Non-calcareous","irrigation",1.318128756
"QY065","BNPRLopt(dep)","Non-calcareous","irrigation",1.318128756
"QY065","BAU","Non-calcareous","fertilizer",1.158808103
"QY065","BNP","Non-calcareous","fertilizer",0.660730438
"QY065","BNPR","Non-calcareous","fertilizer",0.369766903
"QY065","BNPL","Non-calcareous","fertilizer",0.660730438
"QY065","BNPRLopt","Non-calcareous","fertilizer",0.369766903
"QY065","BNPRLopt(dep)","Non-calcareous","fertilizer",0.369766903
"QY065","BAU","Non-calcareous","total input",6.671546978
"QY065","BNP","Non-calcareous","total input",6.173469313
"QY065","BNPR","Non-calcareous","total input",9.583905778
"QY065","BNPL","Non-calcareous","total input",6.173469313
"QY065","BNPRLopt","Non-calcareous","total input",6.368637171
"QY065","BNPRLopt(dep)","Non-calcareous","total input",6.368637171
"QY065","Critical input","Non-calcareous","total input",6.81060471069393
"QY065","Critical input","Non-calcareous","critical input",6.81060471069393
"QY070","BAU","Calcareous","deposition",4.520544529
"QY070","BNP","Calcareous","deposition",4.520544529
"QY070","BNPR","Calcareous","deposition",4.520544529
"QY070","BNPL","Calcareous","deposition",4.520544529
"QY070","BNPRLopt","Calcareous","deposition",3.903719959
"QY070","BNPRLopt(dep)","Calcareous","deposition",2.451412267
"QY070","BAU","Calcareous","manure",7.581995597
"QY070","BNP","Calcareous","manure",1.452307692
"QY070","BNPR","Calcareous","manure",1.452307692
"QY070","BNPL","Calcareous","manure",1.452307692
"QY070","BNPRLopt","Calcareous","manure",0
"QY070","BNPRLopt(dep)","Calcareous","manure",1.452307692
"QY070","BAU","Calcareous","irrigation",1.333449911
"QY070","BNP","Calcareous","irrigation",1.333449911
"QY070","BNPR","Calcareous","irrigation",1.333449911
"QY070","BNPL","Calcareous","irrigation",1.333449911
"QY070","BNPRLopt","Calcareous","irrigation",1.333449911
"QY070","BNPRLopt(dep)","Calcareous","irrigation",1.333449911
"QY070","BAU","Calcareous","fertilizer",1.009703314
"QY070","BNP","Calcareous","fertilizer",0.414560211
"QY070","BNPR","Calcareous","fertilizer",0.400392792
"QY070","BNPL","Calcareous","fertilizer",0.414560211
"QY070","BNPRLopt","Calcareous","fertilizer",0.400392792
"QY070","BNPRLopt(dep)","Calcareous","fertilizer",0.400392792
"QY070","BAU","Calcareous","total input",14.445693351
"QY070","BNP","Calcareous","total input",7.720862343
"QY070","BNPR","Calcareous","total input",7.706694924
"QY070","BNPL","Calcareous","total input",7.720862343
"QY070","BNPRLopt","Calcareous","total input",5.637562662
"QY070","BNPRLopt(dep)","Calcareous","total input",5.637562662
"QY070","Critical input","Calcareous","total input",6.10056008452803
"QY070","Critical input","Calcareous","critical input",6.10056008452803
"QY073","BAU","Non-calcareous","deposition",5.147699833
"QY073","BNP","Non-calcareous","deposition",5.147699833
"QY073","BNPR","Non-calcareous","deposition",5.147699833
"QY073","BNPL","Non-calcareous","deposition",5.147699833
"QY073","BNPRLopt","Non-calcareous","deposition",2.518207189
"QY073","BNPRLopt(dep)","Non-calcareous","deposition",2.518207189
"QY073","BAU","Non-calcareous","manure",0
"QY073","BNP","Non-calcareous","manure",0
"QY073","BNPR","Non-calcareous","manure",0
"QY073","BNPL","Non-calcareous","manure",0
"QY073","BNPRLopt","Non-calcareous","manure",0
"QY073","BNPRLopt(dep)","Non-calcareous","manure",0
"QY073","BAU","Non-calcareous","irrigation",1.292894912
"QY073","BNP","Non-calcareous","irrigation",1.292894912
"QY073","BNPR","Non-calcareous","irrigation",1.292894912
"QY073","BNPL","Non-calcareous","irrigation",1.292894912
"QY073","BNPRLopt","Non-calcareous","irrigation",1.292894912
